No,city,city2,hp1,hp2,h_mean,e_mean,s_mean,ed_mean,sf_mean,l_mean,en_mean,hp3
96,경기도,이천시,c,0.4087,0.316,0.6725,0.5314,0.5669,0.2407,0.4178,0.2897,0.6505
97,경기도,안성시,e,0.3666,0.1904,0.5597,0.4324,0.8854,0.0707,0.5242,0.4621,0.123
98,경기도,김포시,d,0.4002,0.2079,0.509,0.6917,0.6643,0.2981,0.2691,0.6119,0.4879
99,경기도,화성시,b,0.4747,0.3758,0.8189,0.6861,0.7077,0.1456,0.3607,0.4235,0.616
100,경기도,광주시,d,0.4006,0.3259,0.5155,0.6939,0.3887,0.197,0.2677,0.6372,0.2806
101,경기도,양주시,e,0.3748,0.2252,0.4818,0.7096,0.7058,0.2128,0.5063,0.2943,0.1382
102,경기도,포천시,e,0.3931,0.316,0.626,0.2324,0.7527,0.1127,0.5181,0.4173,0.1591
103,경기도,여주시,d,0.4128,0.3271,0.3567,0.3756,0.7788,0.2874,0.5813,0.5744,0.2904
104,경기도,연천군,d,0.3737,0.3187,0.1592,0.2145,0.4499,0.3704,0.7067,0.7912,0.7871
105,경기도,가평군,c,0.5087,0.6021,0.3195,0.2763,0.435,0.4336,0.6209,0.8264,0.0473
106,경기도,양평군,d,0.3617,0.2278,0.2334,0.4959,0.2166,0.3619,0.6428,0.9072,0.8345
107,강원도,춘천시,a,0.5131,0.5158,0.3543,0.694,0.9163,0.2573,0.3742,0.7182,0.7609
108,강원도,원주시,c,0.444,0.3926,0.4601,0.6389,0.8496,0.2228,0.5222,0.3475,0.4546
109,강원도,강릉시,b,0.4593,0.336,0.4155,0.4982,0.7821,0.3929,0.5634,0.6507,0.7219
110,강원도,동해시,c,0.4583,0.345,0.417,0.6288,0.5509,0.4471,0.5987,0.6233,0.293
111,강원도,태백시,b,0.4203,0.269,0.4605,0.3939,0.3456,0.5021,0.7228,0.6582,0.8928
112,강원도,속초시,c,0.4749,0.4349,0.3419,0.6317,0.3912,0.5777,0.4105,0.6616,0.3815
113,강원도,삼척시,b,0.4945,0.4336,0.405,0.6598,0.8884,0.3152,0.5861,0.5679,0.3434
114,강원도,홍천군,b,0.4373,0.3439,0.3694,0.4133,0.434,0.5624,0.4844,0.6628,0.8491
115,강원도,횡성군,b,0.4612,0.2338,0.3292,0.679,0.7509,0.7374,0.6106,0.4682,0.7133
116,강원도,영월군,b,0.5245,0.2006,0.402,0.7109,0.6244,0.885,0.8509,0.8183,0.4233
117,강원도,평창군,e,0.3656,0.204,0.481,0.4582,0.2596,0.3591,0.6234,0.6143,0.4107
118,강원도,정선군,b,0.495,0.2109,0.5146,0.5307,0.1452,0.9585,0.8498,0.7956,0.7114
119,강원도,철원군,c,0.3997,0.4098,0.2248,0.4799,0.3258,0.4033,0.3631,0.6829,0.7473
120,강원도,화천군,c,0.4934,0.3897,0.3429,0.514,0.3247,0.7363,0.8618,0.6507,0.1183
121,강원도,양구군,a,0.47,0.4396,0.2229,0.2445,0.1876,0.9071,0.7282,0.6011,0.9673
122,강원도,인제군,a,0.481,0.2707,0.4389,0.9047,0.2333,0.6855,0.8195,0.6498,0.8607
123,강원도,고성군,c,0.3936,0.2236,0.3372,0.5825,0.3854,0.462,0.6599,0.6615,0.8228
124,강원도,양양군,c,0.4291,0.2776,0.4463,0.4732,0.3986,0.4523,0.76,0.6845,0.6788
125,충청북도,충주시,d,0.4108,0.3098,0.51,0.2071,0.8624,0.3199,0.4627,0.4217,0.5397
126,충청북도,제천시,d,0.4359,0.3005,0.4617,0.4601,0.6123,0.3987,0.5708,0.642,0.1741
127,충청북도,청주시,c,0.473,0.4418,0.5417,0.3781,0.8351,0.4489,0.3968,0.2652,0.2927
128,충청북도,보은군,b,0.4807,0.4248,0.3346,0.3907,0.391,0.6734,0.7833,0.5971,0.7442
129,충청북도,옥천군,a,0.6326,0.6798,0.3992,0.6194,0.6201,0.7188,0.7636,0.6766,0.2521
130,충청북도,영동군,a,0.5235,0.5451,0.2216,0.3546,0.5048,0.656,0.8419,0.721,0.6728
131,충청북도,진천군,d,0.4398,0.2458,0.8134,0.3338,0.1948,0.6791,0.7543,0.2333,0.1609
132,충청북도,괴산군,b,0.475,0.4389,0.2711,0.1679,0.6809,0.7031,0.7425,0.4692,0.7749
133,충청북도,음성군,b,0.5294,0.3402,0.8167,0.346,0.7805,0.5607,0.9285,0.3132,0.2534
134,충청북도,단양군,c,0.4979,0.447,0.5127,0.3599,0.679,0.6013,0.5742,0.3703,0.137
135,충청북도,증평군,d,0.4095,0.238,0.4496,0.483,0.3556,0.5448,0.9132,0.4169,0.5093
136,충청남도,천안시,b,0.5371,0.5588,0.607,0.461,0.7677,0.511,0.4255,0.2853,0.3811
137,충청남도,공주시,a,0.5381,0.589,0.3255,0.3977,0.9708,0.3693,0.652,0.6178,0.7134
138,충청남도,보령시,e,0.2972,0.1333,0.2914,0.1416,0.6917,0.2568,0.6714,0.4541,0.6059
139,충청남도,아산시,c,0.4496,0.3894,0.6999,0.5856,0.7662,0.1211,0.6699,0.215,0.4038
140,충청남도,서산시,e,0.3553,0.1287,0.5949,0.4061,0.4736,0.3472,0.6266,0.4232,0.3056
141,충청남도,논산시,b,0.4954,0.6328,0.2452,0.3563,0.6768,0.3316,0.555,0.6138,0.6694
142,충청남도,계룡시,a,0.5473,0.4171,0.3867,1,0.8135,0.3911,0.5015,0.9096,0.9917
143,충청남도,당진시,e,0.2609,0.0066,0.665,0.4928,0.3652,0.1738,0.4082,0.2107,0.3596
144,충청남도,금산군,a,0.5935,0.4979,0.454,0.3199,0.7188,0.8158,0.8612,0.7413,0.4792
145,충청남도,부여군,c,0.4789,0.4912,0.0922,0.6508,0.4818,0.5057,0.7826,0.7339,0.4139
146,충청남도,서천군,a,0.4688,0.312,0.2688,0.6825,0.6138,0.6447,0.7615,0.5758,0.9854
147,충청남도,청양군,b,0.4801,0.2275,0.3304,0.2398,0.7694,0.8459,0.8614,0.6956,0.4972
148,충청남도,홍성군,b,0.4723,0.4667,0.3543,0.3028,0.6033,0.551,0.4893,0.561,0.6116
149,충청남도,예산군,c,0.435,0.249,0.3729,0.3786,0.4369,0.67,0.7818,0.6408,0.5722
150,충청남도,태안군,e,0.3762,0.1115,0.3552,0.3153,0.5712,0.6847,0.3323,0.6947,0.3065
151,전라북도,전주시,b,0.4846,0.4718,0.3866,0.8702,0.8056,0.2984,0.3519,0.4421,0.6024
152,전라북도,군산시,e,0.3425,0.249,0.4131,0.3227,0.8449,0.2728,0.3348,0.1792,0.5116
153,전라북도,익산시,c,0.4427,0.5754,0.2726,0.3905,0.9334,0.1333,0.3773,0.3728,0.3869
154,전라북도,정읍시,d,0.4237,0.3904,0.1673,0.5178,0.66,0.3092,0.7403,0.6658,0.1245
155,전라북도,남원시,a,0.4861,0.5603,0.1012,0.5118,0.8382,0.2421,0.7962,0.7331,0.783
156,전라북도,김제시,e,0.3182,0.3859,0.1869,0.2215,0.4906,0.0311,0.4983,0.5769,0.598
157,전라북도,완주군,a,0.4625,0.3709,0.4415,0.5971,0.6903,0.3544,0.5532,0.5987,0.9652
158,전라북도,진안군,a,0.4866,0.5571,0.0937,0.334,0.0306,0.6069,0.9962,1,0.9947
159,전라북도,무주군,d,0.4523,0.3417,0.2084,0.3613,0.1036,0.7477,1,0.8709,0.0871
160,전라북도,장수군,c,0.3977,0.3596,0.0086,0.5011,0.1613,0.5225,0.9189,0.8372,0.9946
161,전라북도,임실군,b,0.4464,0.4289,0.0766,0.5354,0.0287,0.7756,0.6959,0.799,0.7008
