,0,1
273,동두천터미널점,경기도 동두천시 중앙로265번길 15(생연동)
274,동명동점,강원도 속초시 번영로105번길 19(동명동)
275,동명점,경상북도 칠곡군 동명면 봉암1길 7
276,동보점,강원도 원주시 진광길 30(우산동)
277,동삼점,부산광역시 영도구 태종로 688-2(동삼동)
278,동송점,강원도 철원군 동송읍 금학로 232
279,동아점,경기도 고양시일산동구 강송로 196 동아아파트상가 1-3
280,동암남점,인천광역시 부평구 경인로701번길 43 1층
281,동인점,대구광역시 중구 동인동3가 238-2
282,동천동점,경기도 용인시수지구 고기로45번길 58 동문그린아파트 상가101호
283,동천점,경상북도 경주시 탈해로47번길 6-4
284,동촌점,대구광역시 동구 검사동 960-170
285,동탄1점,"경기도 화성시 동탄지성로 150-9(능동,상가101호)"
286,동탄2점,경기도 화성시 동탄면 중리 동탄청계로 303-14
287,동탄반송점,"경기도 화성시 노작로3길 22,1층 일부호(반송동)"
288,동탄영천점,경기도 화성시 동탄대로24가길 27 상가103호
289,동해점,강원도 동해시 천곡2길 4(천곡동)
290,두구동점,부산광역시 금정구 두구동 230-3
291,두정점,"충청남도 천안시서북구 부성6길 23(두정동, 중앙프라자상가105호)"
292,두호점,경상북도 포항시북구 두호동 205-26
293,둔덕점,전라남도 여수시 만성로 18
294,둔산1점,대전광역시 서구 둔산동 1809  국화동성@상가 202호
295,둔산2점,대전광역시 서구 둔산3동 1972번지
296,등촌제일점,서울특별시 강서구 등촌1동 641-12
297,뚝섬점,서울특별시 광진구 능동로3가길 4(자양동)
298,레이크타운점,경기도 안산시단원구 광덕1로 195
299,마석점,"경기도 남양주시 화도읍 비룡로 185-20, 210(삼진상가2층)"
300,마송점,경기도 김포시 통진읍 조강로 49
301,마전역점,인천광역시 서구 마전동 999-4
302,마전점,충청남도 금산군 추부면 마전리 567-12
303,마천1점,서울특별시 송파구 마천로61길 9(마천동)
304,마평리점,경기도 용인시처인구 금령로 129(마평동)
305,만년점,대전광역시 서구 만년로16번길 27(만년동)
306,만수1점,인천광역시 남동구 만수서로 97-17(만수동 1층)
307,만수3점,인천광역시 남동구 만수동 861 1층
308,만수삼환점,인천광역시 남동구 소래로669번길 30 106호
309,만수주공점,인천광역시 남동구 장승남로34번길 22 상가 111호
310,만촌점,대구광역시 수성구 만촌동 963-4
311,망상점,"강원도 동해시  동해대로 6270-16, 1층 111호(망상동)"
312,망우동점,서울특별시 중랑구 망우3동 444-26
313,망원동점,서울특별시 마포구 망원2동 475-42
314,매산점,경기도 수원시팔달구 갓매산로26번길 24
315,매송점,경기도 화성시 매송면 화성로 2358번길 37
316,매탄점,경기도 수원시영통구 동수원로514번 15 103호
317,매화동점,경기도 시흥시 매화1로 21
318,매화목련점,경기도 성남시분당구 양현로 539. 매화근린상가1층 104
319,면목1점,"서울특별시 중랑구 면목천로19길 16, 1층(면목동)"
320,명곡점,대구광역시 달성군 화원읍 설화리 779-1
321,명보점,충청북도 제천시 용두천로 112(남천동)
322,명일점,서울특별시 강동구 동남로67길 44(명일동)
323,모가점,경기도 이천시 모가면 진상미로 1257(성광주택)
324,모산점,충청남도 아산시 배방면 공수리 63-24
325,모슬포점,제주특별자치도 서귀포시 대정읍 상모대서로 25
326,모현점,경기도 용인시처인구 모현면 외대로 36
327,목감점,경기도 시흥시 동서로 1095
328,목동1점,서울특별시 양천구 목4동 772-12
329,목동3점,"서울특별시 양천구 목동동로 50 A-111(신정동, 목동아파트)"
330,목동시장점,서울특별시 양천구 목동중앙남로10 7
331,목상석봉점,"대전광역시 대덕구 대덕대로1454 11-6(목상동,1층)"
332,목행점,충청북도 충주시 행정10길 10(목행동)
333,무거1점,울산광역시 남구 신복로23번길 15(무거동)
334,무실점,강원도 원주시 시청로 88-1  101호(무실동)
335,무원삼보점,경기도 고양시덕양구 화신로 31 무원마을 삼보상가 102
336,무주점,전라북도 무주군 무주읍 읍내리 249-6
337,무지개점,"경기도 성남시분당구 구미동 211, 무지개마을 106"
338,묵동점,"서울특별시 중랑구 동일로149길 15. 3동 104호(묵동,우성아파트)"
339,묵호점,"강원도 동해시 발한로 137(발한동, 가동)"
340,문경점,경상북도 문경시 문경읍 주흘로 29
341,문덕점,경상북도 포항시남구 오천읍 문덕리 203-3 청호A상가101
342,문막점,강원도 원주시 문막읍 문막시장1길 55-2
343,문산점,경기도 파주시 문산읍 문항로 82
344,문정점,"서울특별시 송파구 송이로33길 6-17(문정동, 지상1층)"
345,문촌점,경기도 고양시일산서구 대산로 183
346,문학점,"인천광역시 미추홀구 승학길 4(문학동, 101호)"
347,문화동점,충청북도 충주시 사직산1길 15-11(문화동)
348,문화점,대전광역시 중구 문화동 788 상가 107호
349,미금점,경기도 성남시분당구 미금일로 55 상가동108호
350,미룡산북점,전라북도 군산시 부곡로 125(미룡동)
351,미사1점,"경기도 하남시 미사강변중앙로 223, 113호 (망월동, 센트럴파크1)"
352,미아점,서울특별시 강북구 도봉로29길 10 1층
353,미원점,충청북도 청주시상당구 미원면 미원시내2길 19-3
354,민락점,경기도 의정부시 오목로 99
355,밀양댐점,경상남도 밀양시 단장면 고례리 1521-3
356,박달동점,경기도 안양시만안구 박달동 134-5
357,반구점,울산광역시 중구 반구동 101-8
358,반달마을점,"경기도 부천시원미구 상동 397, 반달상가1층"
359,반송2점,부산광역시 해운대구 반송동 62-340
360,반월점,전라북도 전주시덕진구 반월동 1229 반월주공아파트상가 104호
361,반포동점,서울특별시 서초구 반포1동 717-10 101
362,발산동점,서울특별시 강서구 우장산로 9(내발산동)
363,방배본점,서울특별시 서초구 동광로11길 25. 1층(방배동)
364,방어진점,울산광역시 동구 화문로 75
365,방이2점,"서울특별시 송파구 오금로23길 25, 나동 1층 (방이동)"
366,방화1점,서울특별시 강서구 양천로11길 8(방화동 487-8 1층)
367,방화2점,"서울특별시 강서구 방화동로 116-1(방화동, 1층)"
368,백련시장점,서울특별시 서대문구 남가좌2동 347-1
369,백사점,경기도 이천시 백사면 현방리78-2
370,백석점,경기도 양주시 백석읍 양주산성로 564-1
371,백암점,경상북도 울진군 온정면 소태로 3
372,백양사점,전라남도 장성군 북하면 백양로 904
373,백천점,경상북도 경산시 백천동 573-1 108
374,백학점,경기도 연천군 백학면 두백로 35
375,번동점,서울특별시 강북구 번3동 307 1층 5호
376,범서점,울산광역시 울주군 범서읍 점촌5길 37
377,범어점,경상남도 양산시 물금읍 범어리 721-1
378,범어B점,대구광역시 수성구 동대구로77길 24
379,법1동점,대전광역시 대덕구 법동 281 삼정하이츠@상가 1층
380,법2동점,대전광역시 대덕구 법동 206-6
381,법원점,경상북도 포항시북구 양덕동 692-6
382,별내점,경기도 남양주시 별내중앙로26 111호
383,병영점,울산광역시 중구 병영로 80
384,병점점,경기도 화성시 병점로 58(병점동)
385,병천점,충청남도 천안시동남구 병천면 병천리 157-17
386,보개점,경기도 안성시 보개면 남사당로 1-3
387,보광2점,"서울특별시 용산구 장문로6길 101, 지상1층(동빙고동 1-9)"
388,보라매동점,서울특별시 관악구 보라매로 22 (봉천동)
389,보라점,경기도 용인시기흥구 사은로 116
390,보령웅천점,충청남도 보령시 웅천읍 충서로 872
391,보은점,충청북도 보은군 보은읍 삼산리 44-1
392,복대점,충청북도 청주시흥덕구 복대로199번길 3
393,복수점,대전광역시 서구 복수동 283-397
394,본리점,대구광역시 달서구 본리동 81-3번지
395,본오2점,경기도 안산시상록구 각골로 123
396,본오3점,경기도 안산시상록구 본오동 669-7
397,봉곡점,경상북도 구미시 봉곡남로9길 35
398,봉담와우리점,경기도 화성시 봉담읍 와우로15번길 55-9 효성@상가1층
399,봉담점,경기도 화성시 봉담읍 진등1길 57-1
